ID,Grade,Skill Title,Description,CSTA,Num Dependencies,Internal Deps,External Deps,All Dependencies
T01.G6.03,G6,Spot unnecessary work in an algorithm,Students highlight lines where an algorithm keeps working after the result is found. _Implementation note: Code highlight; auto‑graded. CSTA: MS‑ALG‑AF‑01._,MS‑ALG‑AF‑01,2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G6.04,G6,Revise an algorithm to do less work,"Students remove redundant checks/loops without changing output. _Implementation note: Pseudocode/coding edit; auto‑graded on correctness + fewer steps. CSTA: MS‑ALG‑AF‑01, MS‑ALG‑PS‑05._","MS‑ALG‑AF‑01, MS‑ALG‑PS‑05",2,0,2,* T07.G3.01: Use a counted repeat loop | * T08.G3.01: Use a simple if in a script
T01.G6.05,G6,Identify who is favored or harmed by a decision algorithm,"Students analyze a simple decision algorithm for fairness across groups. _Implementation note: Scenario MCQ + short explanation. CSTA: MS‑ALG‑IM‑08. AI4K12: Ethical design (D), Societal impacts (E)._",MS‑ALG‑IM‑08,0,0,0,
T01.G6.06,G6,Suggest a change to make a decision algorithm more fair,"Students propose specific changes to reduce bias or harm. _Implementation note: Structured response; auto‑graded by alignment with identified issue. CSTA: MS‑ALG‑IM‑09. AI4K12: Ethical design (D), Societal impacts (E)._",MS‑ALG‑IM‑09,0,0,0,
T01.G6.07,G6,Design a flowchart for a multi‑step program,"Students design a flowchart for a game turn (ask, check, update score, continue/stop), building on the flowchart symbols, loops, and decisions practiced in T02 up through Grade 6. _Implementation note: Flowchart design tied to a concrete game scenario; rubric. CSTA: MS‑ALG‑AF‑01._",MS‑ALG‑AF‑01,3,0,3,* T07.G3.01: Use a counted repeat loop | * T08.G3.01: Use a simple if in a script | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G6.08,G6,Implement code from a detailed flowchart,"Students map each shape in a detailed, multi‑step flowchart to code constructs in a CreatiCode project, focusing on correctness and readability rather than learning new notation. _Implementation note: Coding; auto‑graded structure + tests, assumes prior diagram‑to‑code practice from T02.G6.05. CSTA: MS‑ALG‑AF‑01, MS‑PRO‑PF‑01._","MS‑ALG‑AF‑01, MS‑PRO‑PF‑01",2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G7.01,G7,Identify the pattern in a given program,"Students categorize code as search, sort, accumulation, or simulation. _Implementation note: MCQ; auto‑graded. CSTA: MS‑ALG‑AF‑01._",MS‑ALG‑AF‑01,2,0,2,* T06.G7.01: Create a simple state machine with broadcasts | * T09.G7.04: Understand local vs global variable scope
T01.G7.02,G7,Choose a pattern to solve a problem,"Students pick which algorithm pattern is best for a described task. _Implementation note: MCQ; auto‑graded. CSTA: MS‑ALG‑AF‑01, MS‑ALG‑PS‑06._","MS‑ALG‑AF‑01, MS‑ALG‑PS‑06",0,0,0,
T01.G7.03,G7,Write pseudocode for a search or accumulation algorithm,"Students write structured pseudocode for ""find max"" or ""count items that match."" _Implementation note: Guided pseudocode; auto‑graded structure. CSTA: MS‑ALG‑AF‑01, MS‑PRO‑PF‑02._","MS‑ALG‑AF‑01, MS‑PRO‑PF‑02",2,0,2,* T04.G2.01: Identify the repeating unit in a longer pattern | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G7.04,G7,Compare efficiency of two algorithms qualitatively,"Students reason which algorithm scales better as inputs grow. _Implementation note: Scenario + MCQ + explanation. CSTA: MS‑ALG‑AF‑02, MS‑ALG‑PS‑05._","MS‑ALG‑AF‑02, MS‑ALG‑PS‑05",0,0,0,
T01.G7.05,G7,Design a set of edge‑case tests for an algorithm,"Students pick tests (including edge cases) that give high confidence the algorithm works. _Implementation note: Choose tests from list; auto‑graded for coverage. CSTA: MS‑ALG‑PS‑05, MS‑PRO‑TR‑11.","MS‑ALG‑PS‑05, MS‑PRO‑TR‑11",0,0,0,
T01.G7.06,G7,Run an algorithm on edge cases and find failures,Students test algorithms on tricky inputs and flag those that fail. _Implementation note: MCQ/interactive; auto‑graded. CSTA: MS‑ALG‑PS‑05._,MS‑ALG‑PS‑05,0,0,0,
T01.G7.07,G7,Explain why an algorithm fails on a specific edge case,"Students explain which step causes the failure and why. _Implementation note: Structured explanation; auto‑graded patterns. CSTA: MS‑ALG‑PS‑05, MS‑PRO‑TR‑11.","MS‑ALG‑PS‑05, MS‑PRO‑TR‑11",0,0,0,
T01.G7.08,G7,Rewrite a naive algorithm using a better pattern,"Students replace repeated naive logic with a cleaner pattern (single loop, flag, etc.). _Implementation note: Pseudocode/coding refactor; rubric. CSTA: MS‑ALG‑AF‑01, MS‑ALG‑PS‑06._","MS‑ALG‑AF‑01, MS‑ALG‑PS‑06",2,0,2,* T04.G2.01: Identify the repeating unit in a longer pattern | * T07.G3.01: Use a counted repeat loop
T01.G8.01,G8,Design one‑step update rules for a simple simulation,"Students specify how state variables change in one timestep of a simulation. _Implementation note: Code/pseudocode blanks; auto‑graded. CSTA: MS‑ALG‑AF‑01, DAA‑DI. AI4K12: Modeling (B)._","MS‑ALG‑AF‑01, DAA‑DI",3,0,3,* T07.G3.01: Use a counted repeat loop | * T08.G3.01: Use a simple if in a script | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G8.02,G8,Interpret the behavior of a simulation algorithm over time,"Students explain what happens to variables after several steps. _Implementation note: Code + graph reading; MCQ/short answer. CSTA: MS‑ALG‑AF‑02, DAA‑DI. AI4K12: Modeling (B)._","MS‑ALG‑AF‑02, DAA‑DI",1,0,1,* T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G8.03,G8,Compare two simulations with slightly different rules,"Students explain how changed rules affect outcomes. _Implementation note: Side‑by‑side comparison + explanation. CSTA: MS‑ALG‑AF‑02, DAA‑DI. AI4K12: Modeling (B)._","MS‑ALG‑AF‑02, DAA‑DI",0,0,0,
T01.G8.04,G8,Identify base case and recursive step in an algorithm description,"Students highlight base case and recursive step in a **natural‑language** description of a recursive process (e.g., ""to count the blocks in a stack, count the top block, then count the rest""), keeping recursion **concept‑only** (no code blocks). _Implementation note: MCQ/highlight; auto‑graded. CSTA: MS‑ALG‑PS‑07._",MS‑ALG‑PS‑07,2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G8.05,G8,Trace a conceptual recursive algorithm on small inputs,"Students step through a **diagram or story version** of recursion (e.g., factorial, sum of list) for small inputs, marking each call/return to show how the answer is built, without writing or reading recursive code. _Implementation note: Tracing table; auto‑graded. CSTA: MS‑ALG‑PS‑07._",MS‑ALG‑PS‑07,2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G8.06,G8,Analyze who is helped or harmed by a real‑world algorithm,"Students identify stakeholders and impacts of a real‑world algorithm. _Implementation note: Scenario with MCQ + short answers. CSTA: MS‑ALG‑IM‑08. AI4K12: Ethical design (D), Societal impacts (E)._",MS‑ALG‑IM‑08,0,0,0,
T01.G8.07,G8,Propose changes to make a real‑world algorithm more fair,"Students propose specific mitigations based on identified harms. _Implementation note: Structured responses; auto‑graded alignment. CSTA: MS‑ALG‑IM‑09. AI4K12: Ethical design (D), Societal impacts (E)._",MS‑ALG‑IM‑09,0,0,0,
T01.G8.08,G8,Refactor a medium‑sized program for clarity,"Students reorganize code into helper blocks, remove duplication, and add meaningful names. _Implementation note: Coding refactor; auto‑graded via behavior + structure. CSTA: MS‑PRO‑TR‑11.",MS‑PRO‑TR‑11,2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G8.09,G8,Refactor a medium‑sized program for efficiency,"Students make local changes (e.g., break loops early, avoid unnecessary recomputation) to reduce work. _Implementation note: Coding edits; auto‑graded for unchanged outputs and fewer steps. CSTA: MS‑ALG‑PS‑05, MS‑PRO‑TR‑11.","MS‑ALG‑PS‑05, MS‑PRO‑TR‑11",1,0,1,* T07.G3.01: Use a counted repeat loop
